key	en	ar	zh-Hant	zh-CN	nl	de	el	ja	lv	pt	es	th	it
nav-ShowEntries	Show Entries	إظهار الإدخالات	顯示項目	显示项目	Toon op pagina	Einträge anzeigen	Προβολή Καταχωρήσεων	表示項目数	Rādīt ierakstus	Mostrar Resultados/Entradas	Ver registros	แสดงรายการ	Mostra le voci
nav-ShowXEntries	Show x entries.	عدد الإدخالات الظاهرة  x	顯示x選項	显示x个项目	Show x entries.	x Einträge anzeigen	Εμφάνιση x αποτελεσμάτων	x 項目を表示	Rādīt x ierakstus.	Mostra x resultados/entradas	Mostrando x registros	แสดง x รายการ	Mostra x voci
nav-Showing0Entries	Showing 0 to 0 of 0 entries	عرض 0 إلى 0 من 0 من الإدخالات	顯示0到0的0選項	显示0到0的0个项目	x van x op pagina	0 bis 0 von 0 Einträgen	Εμφάνιση 0 σε 0 από 0 εισαγωγές	0項目中0番目から0番目までを表示	Rāda 0 līdz 0 no 0 ierakstiem	Mostrando de 0 a 0 de 0 resultados/entradas	Mostrando 0 de 0 de 0 registros	แสดงรายการ 0 ถึง 0 จาก 0 รายการ	Mostra da 0 a 0 di 0 voci
nav-ShowingXEntries	Showing x to x of x entries.	عرض x إلى x من x إدخالات.	顯示 x 至 x 的 x 項目	显示x至x，共x个项目	x van x op pagina	x bis x von x Einträgen.	Προβολή x από x των x καταχωρήσεων.	x 項目中 x 番目から x 番目までを表示	Rāda x līdz x no x ierakstiem	Mostrando de x a x de x resultados/entradas	Mostrando x a x de x registros	การแสดง x ถึง x จาก x รายการ	Mostra da x a x di x voci
nav-Yes	Yes	نعم	是	是	Ja	Ja	NAI	必要	Jā	Sim	Si	ใช่	Si
nav-SelectALanguage	Select a language	أختر اللغة	选择语言	选择语言		Sprache wählen	Επιλέξτε μια γλώσσα	言語選択	Izvēlieties valodu	Selecione um idioma	Selecciona un idioma	เลือกภาษา	Seleziona una lingua
nav-SelectByNumericAIOrKeyword	Search by numeric AI or by keyword	البحث بواسطة الرقم التعريفي او بواسطة الكلمة التعريفية	按AI或关键字查询	按AI或关键字查询		Suche mit AI oder Begriff	Αναζητήστε βάσει του αριθμητικού GS1 Δείκτη Εφαρμογής ή βάσει λέξης-κλειδί	AI番号またはキーワードによる検索	Meklējiet pēc skaitliskā Pielietojuma Identifikatora (AI) vai pēc atslēgvārda	Pesquise por IA numérico ou por palavra-chave	Búsqueda por Identificador de Aplicación numérica o por palabra clave	ค้นหาจาก AI หรือคำสำคัญ	Ricerca per AI o per parola chiave
nav-ClearKeyword	Clear keyword	حذف الكلمة التعريفية	清除关键字	清除关键字		Begriff löschen	Καθαρισμός λέξης-κλειδί	キーワドクリア	Notīrīt atslēgvārdu	Apagar palavra-chave	Borrar palabra clave	ล้างคำค้นหา	Cancella parola chiave
nav-ExpandAIranges	Expand AI ranges	توسيع نطاقات معرفات التطبيقات	展开AI区域	展开AI区域		Bereich der Application Identifier erweitern	Εμφάνιση ευρών Δεικτών Εφαρμογής	AIの範囲を拡大する	Paplašiniet PI diapazonus	Ampliar os intervalos dos Identificadores Aplicação	Ampliar los rangos de Identificadores de Aplicación	การขยายช่วง AI	Espandi i range degli AI
nav-CollapseAIranges	Collapse AI ranges	تقليص نطاقات  معرفات التطبيقات	折叠AI区域	折叠AI区域		Bereich der Application Identifier reduzieren	Απόκρυψη ευρών Δεικτών Εφαρμογής	AIの範囲を折りたたむ	Samaziniet PI diapazonu	Reduzir os intervalos dos Identificadores Aplicação	Contraer rangos de Identificador de Aplicación	การยุบช่วง AI	Restringi i range degli AI
nav-ApplicationIdentifier	Application Identifier	معرفات التطبيقات جي اس ون	应用标识符	应用标识符		Application Identifier	Δείκτης Εφαρμογής  - ΑΙ	アプリケーション識別子	Pielietojuma Identifikators	Identificadores de Aplicação	Identificador de aplicación	เลขหมายบ่งชี้การใช้งาน	Application Identifier
nav-RegularExpression	Regular expression	تعبير عادي	正则表达式	正则表达式		Regulärer Ausdruck	Κανονική Έκφραση	正規表現	Regulāra izteiksme	Expressão regular	Expresión regular	การแสดงออกแบบปกติ	Regular expression
nav-MandatoryAssociations	Mandatory associations	الجمعيات الإلزامية	强制关联	强制关联		Verpflichtende Verbindung	Υποχρεωτικές συσχετίσεις	必須の組み合わせ	Obligātas saistības	Associações obrigatórias	Asociaciones obligatorias	การรวมกันแบบบังคับ	Associazioni obbligatorie
nav-InvalidPairings	Invalid pairings	اقترانات غير  صحيحة	无效组合	无效组合		Ungültige Kombinationen	Μη επιτρεπόμενες συσχετίσεις	誤った組み合わせ	Nesaderīgi pāri	Combinação inválida	Emparejamientos no válidos	การจับคู่ไม่ถูกต้อง	Associazioni non consentite
nav-PrimaryKeyInDL	Primary key in a GS1 Digital Link URI?	المفتاح الأساسي في الرابط الرقمي ل جي اس ون ؟	GS1 Digital Link URI中的主键？	GS1 Digital Link URI中的主键？		Primärschlüssel in einer GS1 Digital Link URI?	Είναι το βασικό κλειδί (primary key) σε ένα σύνδεσμο URI βάσει προτύπου GS1 Digital Link;	GS1デジタルリンクURIにおけるプライマリーキーか？	Primārā atslēga GS1 Digital Link URI?	Chave principal num URI GS1 digital link?	¿Clave principal en un URI de enlace digital GS1?	เป็นคีย์หลักของ GS1 Digital Link URI หรือไม่	Chiave primaria in un GS1 Digital Link URI?
nav-GS1DLKeyQualifiers	GS1 Digital Link key qualifiers	مؤهلات مفتاح الارتباط الرقمي جي اس ون	GS1 Digital Link键限定符	GS1 Digital Link键限定符		GS1 Digital Link key qualifier	Βασικά αναγνωριστικά κλειδιά GS1 Digital Link	GS1 Digital Link key qualifiers	GS1 Digital Link atslēgas kvalifikatori	Qualificadores chave do GS1 Digital Link	Calificadores clave de GS1 Digital Link	คีย์บ่งชี้ของ GS1 Digital Link	Qualificatore della chiave nel GS1 Digital Link
nav-Note	Note	ملاحظة	注意	注意		Anmerkung	Σημείωση	注意	Piezīme	Nota	Nota	หมายเหตุ	Nota
nav-GS1ApplicationIdentfiers	GS1 Application Identifiers	معرفات التطبيقات جي اس ون	GS1应用标识符	GS1应用标识符		GS1 Application Identifier	GS1 Δείκτες Εφαρμογής	GS1アプリケーション識別子（AI）	GS1 Pielietojuma Identifikators	Identificadores de Aplicação GS1	Identificadores de Aplicación GS1	เลขหมายบ่งชี้การใช้งาน	Application Identifier GS1
nav-ShowAllGS1AIs	Show all GS1 Application Identifiers	إظهار كافة معرفات تطبيق جي اس ون	显示所有GS1应用标识符	显示所有GS1应用标识符		Alle GS1 Application Identifier anzeigen	Πρόβολή όλων των GS1 Δεικτών Εφαρμογής	GS1アプリケーション識別子（AI）を表示	Rādīt visus GS1 Pielietojuma Identifikatorus	Mostrar todos os Identificadores de Aplicação GS1	Mostrar todos los Identificadores de Aplicación GS1	แสดงเลขหมายบ่งชี้การใช้งานทั้งหมด	Mostra tutti gli Application Identifier GS1
nav-TheGlobalLanguageOfBusiness	The Global Language of Business	اللغة العالمية للأعمال	全球通用的商务语言	全球通用的商务语言		The Global Language of Business	Η Διεθνής Γλώσσα του Επιχειρείν	The Global Language of Business	Globāla Biznesa Valoda	A Linguagem Global dos Negócios	El lenguaje global de los negocios	ภาษาสากลสำหรับธุรกิจ	The Global Language of Business
nav-onGS1AIs	Please refer to the GS1 General Specifications for full details on GS1 Application Identifiers.	يرجى الرجوع إلى المواصفات العامة جي اس ون  للحصول على التفاصيل الكاملة حول معرفات تطبيق جي اس ون	有关GS1应用标识符的详细信息，请参阅GS1通用规范。	有关GS1应用标识符的详细信息，请参阅GS1通用规范。		Weitere Details zu den GS1 Application Identifiern finden Sie in den Allgemeinen GS1 Spezifikationen	Παρακαλούμε ανατρέξτε στις Γενικές Προδιαγραφές GS1 General Specifications για λεπτομέρειες σχετικά με τους GS1 Δείκτες Εφαρμογής.	詳細はGS1総合仕様書を参照のこと	Lai iegūtu pilnu informāciju par GS1 Pielietojuma Identifikatoriem, lūdzu, skatiet GS1 Vispārējās Specifikācijas.	Por favor consulte as Especificações Gerais GS1 para obter detalhes completos sobre os Identificadores de Aplicação GS1.	Consulte las Especificaciones Generales GS1 para obtener detalles completos sobre los Identificadores de Aplicación GS1.	สำหรับเนื้อหาโดยละเอียดของเลขหมายบ่งชี้การใช้งาน กรุณาอ้างอิงจากคู่มือ GS1 General Specifications	Fare riferimento alle GS1 General Specifications per tutti i dettagli sugli Application Identifier GS1
nav-WhatAreGS1AIs	What are GS1 Application Identifiers?	ما هي معرفات تطبيقات نظام المعايير جي اس ون (GS1) ؟	什么是 GS1 应用标识符？	什么是 GS1 应用标识符？	Wat zijn GS1 Applicatie-ID's?	Was sind GS1 Application Identifier?	Τι είναι τα Αναγνωριστικά Εφαρμογών GS1;	GS1 アプリケーション識別子とは何ですか?	Kas ir GS1 Pielietojuma Identifikatori?	O que são Identificadores de Aplicação?	¿Qué son los Identificadores de Aplicación GS1?	เลขหมายบ่งชี้การใช้งานคืออะไร	Cosa sono gli Application Identifier GS1?
nav-TheCurrentDataset	The current dataset for this tool is available in JSON-LD	المجموعة الحالية من البيانات لهذه الأداة متاحة باستخدام تنسيق JSON-LD.	该工具的当前数据集以 JSON-LD 形式提供	该工具的当前数据集以 JSON-LD 形式提供	De huidige dataset voor deze tool is beschikbaar in JSON-LD	Der aktuelle Datensatz für dieses Tool ist in JSON-LD verfügbar	Το τρέχον σύνολο δεδομένων για αυτό το εργαλείο είναι διαθέσιμο σε JSON-LD	このツールの現在のデータセットは JSON-LD で利用できます	Pašreizējā šī rīka datu kopa ir pieejama JSON-LD	O conjunto de dados atual para esta ferramenta está disponível em JSON-LD	El conjunto de datos actual, para esta herramienta, está disponible en JSON-LD.	ชุดข้อมูลปัจจุบันสำหรับเครื่องมือนี้มีอยู่ใน JSON-LD	Il dataset attuale per questo strumento è disponibile in JSON-LD
note-mr	A machine-readable format that can be used by software developers	تنسيق قابل للقراءة آليًا يمكن استخدامه بواسطة مطوري البرامج	供程式設計師使用的設備可閱讀格式	供程序设计员使用的设备可读格式	Een machine-leesbaar formaat dat gebruikt kan worden door softwareontwikkelaars	Ein maschinen-lesbares Format, das von Software-Entwicklern verwendet werden kann	Μια δομή (κώδικας) αναγνώρισης από πληροφοριακά συστήματα που μπορεί να χρησιμοποιηθεί από προγραμματιστές εφαρμογών	主にソフトウェア開発者が使用する機械可読なフォーマット	Mašīnlasāms formāts, ko var izmantot programmatūras izstrādātāji	Formato legível para leitores utilizado pelos designers de software	Un formato legible por la máquina que puede ser utilizado por los desarrolladores de software.	รูปแบบที่เครื่องจักรสามารถอ่านค่าได้ ซึ่งสามารถถูกใช้โดยผู้พัฒนาซอร์ฟแวร์	Un formato machine-readable utilizzabile dagli sviluppatori software
note-sector7	AIs issued in the 7 series represent a special case because they are restricted to: one or a small number of sectors (i.e. are not multi-sectoral); or a country or a region (i.e. are not global).	تمثل  معرفات التطبيقات الصادرة في 7 متتاليات حالة خاصة لأنها مقتصرة على: واحد أو عدد صغير من القطاعات (أي ليست متعددة القطاعات) ؛ أو بلد أو منطقة (أي ليست عالمية).	所有AI以7開頭的部份為應用於特殊案例，因為這些號碼被限制用於：一或少部份的領域（註：並非同時應用於多個領域），或一個國家或一個地區（註：並非全球性）。	7系列AI应用在特殊情况中，只限于以下情况应用：一个或少数部门（即非多部门）；一个国家或一个地区（即非全球）。	AI’s uitgegeven in de 7 reeks kennen een speciale invulling, omdat ze beperkt zijn tot: één of meerdere sectoren (m.a.w. zijn niet sectoronafhankelijk); of een land of regio (m.a.w. zijn niet wereldwijd)	GS1 AIs aus der 7er-Serie stellen einen Sonderfall dar, da sie eingeschränkt sind auf: einen oder eine kleine Anzahl von Sektoren (d.h. sie sind nicht multi-sektoral anwendbar) oder ein Land oder eine Region (d.h. sie sind nicht global anwendbar)	Οι δείκτες εφαρμογής στη σειρά 7 αντιπροσωπεύουν μια ιδιαίτερη περίπτωση γιατί είναι περιορισμένοι σε : μια ή σε μικρό αριθμό τμημάτων σε εταιρία (π.χ . δεν έχουν πολλά τμήματα ) ή σε μια χώρα ή σε μια συγκεκριμένη γεωγραφική περιοχή ( π.χ. δεν είναι Διεθνής ).	7で始まるGS1アプリケーション識別子は、一つもしくは少数のセクター（つまりマルチセクターではない）または一国もしくは一地域（つまりグローバルではない）といった特殊なケースに適用される。	Septiņās sērijās izdotie PI attēlo speciālus gadījums, jo tie attiecas tikai uz vienu vai nedaudziem sektoriem (t.i. tie nav daudznozaru); vai valsti vai reģionu (t.i. tie nav globāli).	IAs da série 7 representam casos específicos porque são IAs restritos a: um setor ou a um número pequeno de setores (ex. não multisetorial); ou a um país ou a uma região (ex. não são globais)	En la serie 7, los Identificadores de Aplicación AI, representan un caso especial porque están restringidos a uno o un pequeño número de sectores (es decir, no son multisectoriales); o un país o una región (es decir, no son globales).	เลขหมายบ่งชี้การใช้งาน (AIs) ที่ขึ้นต้นด้วยเลข 7 จะใช้ในกรณีพิเศษเท่านั้น เพราะหมายเลขเหล่านี้ถูกจำกัดสำหรับหนึ่งภาคส่วนหรือภาคส่วนเล็กๆ (ไม่สามารถใช้ได้ในทุกภาคส่วน) หรือจำกัดในบางประเทศ หรือบางภูมิภาค (ไม่สามารถใช้ในระดับสากล)	Gli Application Identifier GS1 nella serie 7 rappresentano un caso speciale perché sono limitate a uno o un numero limitato di settori (vale a dire non sono multisettoriali); oppure a un paese o a una regione (vale a dire non sono globali).
note-format	Format	شكل	格式	格式	Formaat	Format	Μορφή	フォーマット	Formāts	Formato	Formato	รูปแบบ	Formato
note-intro	GS1 Application Identifiers (AIs) are prefixes used in barcodes and EPC/RFID-tags to define the meaning and format of data attributes. This tool was developed in response to the growing use of AIs in the various industry sectors to include product data beyond the GTIN, such as the batch/lot number, serial number, best before date and expiration date. It also allows users, solution providers and GS1 Member Organisations to easily view, search and share details about individual Application Identifiers through web-browsers or on a mobile device.	تعد معرفات التطبيقات (AIs) الخاصة بـ GS1 أرقام بادئة تستخدم في الباركود و بطاقة ترميز المنتج الكترونيا/ تكنولوجيا الموجات الراديوي، لتعريف المعنى و التنسيق الخاص بسمات البيانات. هذه الأداة تم تطويرها استجابة لتزايد استخدام معرفات التطبيقات (AIs) في القطاعات الصناعية المختلفة لتشمل بيانات المنتج غير رقم المنتج GTIN ، مثل الرقم التشغيلي/ رقم الدفعة، و الرقم التسلسلي، وأفضل استخدام قبل تاريخ وتاريخ انتهاء الصلاحية. كما انها تسمح للمستخدمين،  ومزودي الحلول البرمجية و المنظمات الأعضاء في GS1    بسهولة مشاهدة، وبحث،و مشاركة التفاصيل الخاصة بمعرفات التطبيقات من خلال متصفحات الانترنت أو عبر جهاز الهاتف النقال.	GS1應用識別碼(GS1 Application Identifiers, AIs)為條碼及EPC/RFID標籤，用以解釋資料屬性的格式與內容。此工具是輔助GS1應用識別碼在各個產業間，對於GTIN以外的附加應用，包括批號、序號、最佳有效期限及有效期限。同時，此工具也供一般使用者、解決方案供應商及GS1會員組織們，可在網頁瀏覽器或智慧型手機、平板電腦等行動裝置上，進行簡易快速地檢視、搜尋及分享各應用識別碼的詳細資料。	GS1应用标识符(GS1 Application Identifiers, AIs)为条码及EPC/RFID中的前缀码，用以说明数据属性的格式与内容。此工具是辅助GS1应用标识符在各个产业间，对于GTIN以外的附加应用，包括批号、序号、最佳有效期限及有效期限。同时，此工具也使一般用户、解决方案供货商及GS1会员组织们可在网页浏览器或智能手机、平板电脑等移动设备上，进行简易快速地检视、搜寻及分享各应用标识符的详细数据。	GS1 Application Identifiers (AIs) zijn prefixen die de betekenis en het formaat van gegevensvelden in barcodes en EPC/RFID tags definiëren. Deze tool is ontwikkeld als ondersteuning voor het groeiende gebruik van AI’s in de verschillende sectoren, waar steeds vaker gegevens naast de GTIN ingezet worden, zoals batch/lotnummer, serienummer, houdbaarheids- en expiratiedatum. Daarnaast biedt de tool gebruikers, solution providers en GS1 organisaties een handig overzicht dat goed doorzoekbaar is, en het biedt de mogelijkheid om de informatie over Application Identifiers te delen via webbrowsers of mobiele versies.	GS1 Application Identifiers (AIs) sind Präfixe, die in Strichcodes und EPC/RFID-Tags genutzt werden, um die Bedeutung und das Format von Dateninhalten zu definieren. Dieses Tool wurde aufgrund von wachsendem Einsatz der AIs in verschiedenen Branchen entwickelt, in denen zusätzlich zur GTIN weitere Attribute, wie zum Beispiel Chargennummer, Seriennummer, Mindesthaltbarkeitsdatum oder Verfallsdatum zur Anwendung kommen. Es ermöglicht Anwendern, Dienstleistern und GS1 Mitgliedsorganisationen, Details zu einzelnen Application Identifier zu sichten, zu suchen und über Web-Browser oder mobile Geräte zu kommunizieren.	Οι Δείκτες Εφαρμογής GS1 (GS1 Application Identifiers - AIs) είναι προθέματα που μπορούν να χρησιμοποιηθούν σε  barcodes και σε EPC/RFID tags  και προσδιορίζουν κατά τρόπο μοναδικό το περιεχόμενο και τη μορφή πεδίων δεδομένων Το εργαλείο αυτό αναπτύχθηκε σε απάντηση της αυξανόμενης χρήσης των AIs σε διάφορους τομείς της βιομηχανίας και της ανάγκης κωδικοποίησης  περισσότερων δεδομένων προϊόντων πέρα του GTIN, όπως αριθμός παρτίδας, σειριακός αριθμός, ημερομηνία λήξης κ.α. Επιτρέπει επίσης στους χρήστες , σε μέλη του GS1 και σε solutions providers να μπορούν  εύκολα και γρήγορα να αναζητήσουν χαρακτηριστικά για τους Δείκτες εφαρμογής στο διαδίκτυο.	GS1アプリケーション識別子（AI）はバーコードや電子タグに使用され、データの先頭につけてそのデータの意味やフォーマット（データの内容、長さ、および使用可能な文字）を定義します。 このツール、GS1 Application Identifiersは様々な産業セクターでAIを活用して、GTIN（商品識別コード）に加えてバッチ・ロット番号、シリアル番号、品質保持期限日（賞味期限日）や有効期限日（消費期限日）も（バーコードや電子タグに）表現されるケースが増加することに答えて開発されました。 パソコンや携帯電話を通じて、（メーカーや小売業に代表される）GS1標準の利用者やソリューションプロバイダー、そしてGS1加盟組織は個々のAIの詳細を簡単に参照、検索することが可能となります。	GS1 Pielietojuma Identifikatori (PI) ir prefiksi, ko izmanto svītrkodos un EPC/RFID marķējumos datu atribūtu nozīmes un formāta definēšanai. Šis rīks tika izstrādāts, reaģējot uz arvien pieaugošo PI izmantošanu dažādās rūpniecības nozarēs, kad nepieciešams iekļaut vairāk datu par produktu nekā GTVN, piemēram, partijas numuru, sērijas numuru un derīguma termiņu. Tas arī ļauj lietotājiem, pakalpojumu sniedzējiem un GS1 biedru organizācijām tīmekļa pārlūkprogrammās vai mobilajās ierīcēs viegli pārskatīt, meklēt un koplietot informāciju par atsevišķiem Pielietojuma Identifikatoriem.	Os Identificadores de Aplicação (IAs/AIs) são prefixos utilizados em códigos de barras e etiquetas EPC/RFID para definir o significado e o formato de atributos de dados. Esta ferramenta foi desenvolvida como resposta ao aumento de utilização de IAs/AIs nos vários setores da Indústria de modo a incluir mais informação do produto, além do GTIN, tal como o número de lote, o número de série, a data mínima de validade e a data máxima de validade. Permite, também, aos utilizadores/usuários, aos solution providers e às Organizações-membro da GS1 facilmente visualizar, procurar e partilhar informações sobre Identificadores de Aplicação individuais através de browsers e de dispositivos móveis.	Los identificadores de aplicación (AI) GS1 son prefijos utilizados en códigos de barras y etiquetas EPC / RFID para definir el significado y el formato de los atributos de los datos. Esta herramienta se ha desarrollado debido al alto uso de identificadores de aplicación en diferentes sectores e industrias para contener información mas allá del GTIN, como el número de lote / lote, el número de serie, la fecha de consumo preferente y la fecha de caducidad. También permite a los usuarios, proveedores de soluciones y organizaciones miembro de GS1 ver y compartir detalles fácilmente.	เลขหมายบ่งชี้การใช้งาน หรือ GS1 Application Identifiers (AIs) เป็นชุดตัวเลขนำหน้าที่ใช้กับบาร์โค้ดและแท็ก EPC/RFID เพื่อใช้ระบุความหมายและรูปแบบของข้อมูล เลขหมาย AIs นี้ถูกพัฒนาให้รองรับการใช้งานที่เพิ่มขึ้นในหลากหลายอุตสาหกรรม รวมถึงข้อมูลสินค้าที่นอกเหนือจากเลขหมาย GTIN เช่น หมายเลขครั้งที่ผลิต หรือ หมายเลขรุ่นที่ผลิต (Batch/Lot No.) หมายเลขเรียงลำดับสินค้า (Serial number) วันที่ควรบริโภคก่อน (best before date) และวันที่หมดอายุ (expiration date) เลขหมาย AIs ยังช่วยให้ผู้ใช้ ผู้ให้บริการด้านโซลูชั่น และหน่วยงาน GS1 ในประเทศต่างๆ สามารถดู ค้นหา และแบ่งปันข้อมูลเกี่ยวกับเลขหมายบ่งชี้การใช้งานนี้ได้อย่างง่ายดายผ่านทางเว็บไซต์หรืออุปกรณ์พกพา	Gli Application Identifier (AI) GS1 sono prefissi utilizzati nei codici a barre e nei tag EPC/RFID per definire il significato e il formato delle informazioni codificate. Questo strumento è stato sviluppato in risposta al crescente utilizzo degli AI nei vari settori industriali per includere dati di prodotto oltre al GTIN, come il numero di lotto, il numero di serie, la data di scadenza e la data di consumo preferibile. Consente, inoltre, a utenti, fornitori di soluzioni ed MO GS1 di visualizzare, cercare e condividere facilmente i dettagli dei singoli Application Identifier tramite browser web o dispositivi mobili.
note-regex	Regular expression	تعبير عادي	正規表示式	正规表示式	Regular expression	Regulärer Ausdruck	Κανονική Έκφραση	正規表現	Parastā izteiksme	Expressão normal	Expresión regular	การกำหนดรูปแบบอักขระ เพื่อใช้ในการค้นหา (Regular expression)	Regular expression
note-dp	The fourth digit of this AI indicates the number of decimal places. For example if the fourth digit is 3 the decimal is in the 3rd position (nnn.nnn), if the fourth digit is 1 the decimal is in the 1st position (nnnnn.n). See GS1 General Specifications for full details.	تشير الخانة الرابعة من  معرف التطبيقات هذا AI  إلى عدد أماكن المنازل العشرية. على سبيل المثال، إذا كانت الخانة الرابعة هي 3 فإن الخانة العشرية ستكون في الموضع الثالث (nnn.nnn)، إذا كانت الخانة الرابعة هي 1 فإن الخانة العشرية ستكون في الموضع الأول (nnnnn.n).اطلع على نظام المواصفات والمعايير GS1 General Specifications للحصول على كامل التفاصيل.	AI號碼的第四位數為小數點後方的位數。舉例來說，假如第四位數為3，代表小數點後方就有三位數（nnn.nnn）。假如第四位數為1，代表小數點後方只有一位數（nnnnn.n）。詳細內容，請參考GS1規格書	AI号码的第四位数为小数点后方的位数。举例来说，假如第四位数为3，代表小数点后方就有三位数（nnn.nnn）。假如第四位数为1，代表小数点后方只有一位数（nnnnn.n）。详细内容，请参考GS1通用规范。	Het cijfer op de vierde positie van deze AI geeft het aantal decimalen dat gebruikt wordt aan. Als voorbeeld: als het cijfer op de vierde positie 3 is, dan staan er 3 cijfers achter de komma (nnn.nnn), als 1 op positie 4 staat, dan staat er 1 cijfer achter de komma (nnnnn.n). Zie voor meer informatie de GS1 General Specifications.	Die vierte Stelle dieses GS1 AIs gibt die Anzahl der Dezimalstellen an. Ist zum Beispiel die vierte Stelle 3, ist die Anzahl der Nachkomastellen drei (nnn.nnn), ist die vierte Stelle 1, ist die Anzahl der Dezimalstellen eins (nnnnn.n). Für Details siehe Allgemeine GS1 Spezifikationen.	Το τέταρτο ψηφίο του δείκτη εφαρμογής προσδιορίζει το πλήθος των  δεκαδικών ψηφίων . Παραδείγματος χάριν εάν το 4ο ψηφίο είναι 3 η υποδιαστολή θα είναι στη 3η θέση (ννν.ννν)  ,εάν το 4ο ψηφίο είναι το 1 η υποδιαστολή είναι στη πρώτη θέση από δεξιά (ννννν,ν). Παρακαλώ ανατρέξτε στις γενικές προδιαγραφές του GS1  για περισσότερες πληροφορίες .	このGS1アプリケーション識別子の4桁目は小数点以下の桁数を表す。例えばこの4桁目が「３」であった場合、小数点以下3桁であることを示す（例１２３．４５６）。もしこの4桁目が「１」であった場合、小数点以下１桁であることを示す（例１２３４５．６）。詳細は最新のGS1 General Specificationsを参照のこと。	Šī PI ceturtais cipars norāda decimāldaļu skaitu. Piemēram, ja ceturtais cipars ir 3, decimāldaļa ir 3. pozīcijā (nnn.nnn), ja ceturtais cipars ir 1, tad decimāldaļa ir 1. pozīcijā (nnnnn.n). Plašāku informāciju skatiet GS1 Vispārējās Specifikācijās.	O quarto dígito deste Identificador de Aplicação indica o número de casas decimais. Por exemplo, se o quarto dígito for 3 o ponto decimal estará na 3ª posição (nnn,nnn) e se o quarto dígito for 1 o ponto decimal estará na 1ª posição (nnnnn,n). Consulte o documento GS1 General Specifications para mais informações.	El cuarto dígito de esta IA indica el número de decimales. Por ejemplo, si el cuarto dígito es el decimal está en la 3ª posición (nnn.nnn), si el cuarto dígito es 1, el decimal está en la 1ª posición (nnnnn.n). Ver las Especificaciones Generales GS1 para más detalles.	หลักที่ 4 ของเลขหมายบ่งชี้การใช้งาน (AI) บ่งบอกถึงตำแหน่งจุดทศนิยมของข้อมูล เช่น ถ้าหลักที่ 4 คือเลข 3 หมายถึงจุดทศนิยม 3 ตำแหน่ง (nnn.nnn) ถ้าหลักที่ 4 คือเลข 1 หมายถึงจุดทศนิยม 1 ตำแหน่ง (nnnnn.n) สามารถดูรายละเอียดเพิ่มเติมได้ในเอกสาร GS1 General Specifications	La quarta cifra di questo AI indica il numero di cifre decimali. Ad esempio, se la quarta cifra è 3, il decimale si trova nella terza posizione da destra (nnn.nnn), mentre se la quarta cifra è 1, il decimale si trova nella prima posizione più a destra(nnnnn.n). Per maggiori dettagli, consultare le GS1 General Specifications.
note-seq	The fourth digit of this GS1 Application Identifier indicates the sequence number, allowing for multiple occurrences of the AI.	تشير الخانة الرابعة لمعرف تطبيقAI  GS1 هذا إلى رقم التسلسل ، يسمح بمرات متعددة لـمعرف التطبيق AI.	此GS1應用識別碼的第四位數為連續號碼，允許形成不同的AI，同時並列呈現	此AI的第四位数为序列号，允许此AI多次出现	De vierde positie van deze Application Identifier is een volgnummer, zodat de AI meerdere keren kan voorkomen	Die vierte Ziffer dieses GS1 Application Identifier gibt die laufende Nummer an, um eine mehrfache Nutzung dieses AIs zu ermöglichen.	Το τέταρτο ψηφίο του Δείκτη Εφαρμογής προσδιορίζει τον αύξοντα αριθμό, επιτρέποντας πολλαπλές επαναλήψεις του Δείκτη Εφαρμογής	2つ以上の証明書を表現する場合があるので、通し番号を表示する	Šī GS1 Pielietojuma Identifikatora ceturtais cipars norāda secības numuru, kas pieļauj vairākus PI gadījumus.	O quarto dígito deste Identificador de Aplicação indica o número de sequência, permitindo várias ocorrências do mesmo IA.	El cuarto dígito de este Identificador de aplicación GS1 indica el número de secuencia, lo que permite múltiples ocurrencias de la IA.	หลักที่ 4 ของเลขหมายบ่งชี้การใช้งานนี้ บ่งบอกถึงหมายเลขเรียงลำดับ ซึ่งทำให้เกิดเลขหมาย AI จำนวนมาก	La quarta cifra di questo AI indica il numero sequenziale, consentendo più occorrenze dell'AI.
note-temperature	The temperatures in these GS1 Application Identifiers are expressed in hundredths of degrees.	يتم التعبير عن درجات الحرارة في معرفات تطبيق جي اس ون  بالنسبة المئوية	这些GS1应用标识符中的温度以百分之一度表示（小数点后两位）	这些GS1应用标识符中的温度以百分之一度表示（小数点后两位）		Die Temperaturen in diesen GS1 Application Identifiern sind in hundertstel Grad ausgedrückt	Η θερμοκρασία σε αυτούς τους GS1 Δείκτες Εφαρμογής εκφράζεται σε εκατοστά της τιμής των βαθμών.	これらのGS1アプリケーション識別子では温度は100分の１の単位で表示されます	Temperatūra šajos GS1 Pielietojuma Identifikatoros ir izteikta grādu simtdaļās.	As temperaturas nestes Identificadores de Aplicação GS1 são expressas em centésimos de graus.	Las temperaturas en estos Identificadores de Aplicación GS1 se expresan en centésimas de grados.	อุณหภูมิที่แสดงในเลขหมายบ่งชี้การใช้งานเหล่านี้ จะแสดงในระดับหนึ่งร้อยองศา	Le temperature in questi identificatori di applicazione GS1 sono espresse in centesimi di grado.
